term	subset	value	exact_matches	conceptual_matches	total_matches	
CheckMate 227	Territory	  SD	8	8	16	
second-line	Territory	  SD	17	63	80	
eager	Territory	  SD	10	7	17	
first-line	Territory	  SD	26	54	80	
top	Territory	  SD	23	0	23	
major academic institution	Territory	  SD	34	225	259	
RTL mentioned	Territory	  SD	27	0	27	
Checkmate	Territory	  SD	87	792	879	
pembrolizumab	Territory	  SD	65	45	110	
cancer center	Territory	  SD	46	130	176	
PD-L1 expression	Territory	  SD	72	703	775	
PTCL	Territory	  SRs	3	139	142	
pt	Territory	  TN	67	23	90	
large community practice	Territory	  TN	42	1884	1926	
voluntarily	Territory	  TX	7	0	7	
I-O agents	Territory	  TX	14	6	20	
H&N cancer	Territory	  TX	22	39	61	
CM-026	Territory	  TX	52	177	229	
TL shared	Territory	  TX	119	1081	1200	
feels	Territory	  TX	397	56	453	
lung TL said	Territory	  UPSTATE NY	16	1110	1126	
atezi	Territory	  UPSTATE NY	5	27	32	
Regional lung TL told	Territory	  UPSTATE NY	21	2	23	
Fall ECOG	Territory	  UPSTATE NY	4	148	152	
voiced his opinion	Territory	  UPSTATE NY	7	16	23	
Local lung TL commented	Territory	  UPSTATE NY	14	0	14	
isn	Territory	  UPSTATE NY	11	106	117	
GR	Territory	  UPSTATE NY	5	0	5	
second	Territory	  UPSTATE NY	5	0	5	
H&N TL	Territory	  UPSTATE NY	20	432	452	
sutent	Territory	  UPSTATE NY	8	3	11	
TL told	Territory	  UPSTATE NY	65	938	1003	
Local	Territory	  UPSTATE NY	184	1056	1240	
t	Territory	  UPSTATE NY	117	0	117	
doesn	Territory	  UPSTATE NY	36	94	130	
TL said	Territory	  UPSTATE NY	86	62	148	
said	Territory	  UPSTATE NY	479	0	479	
line	Territory	  UPSTATE NY	345	108	453	
told	Territory	  UPSTATE NY	136	65	201	
national	Territory	  UPSTATE NY	183	979	1162	
ONS	Territory	  UT	5	198	203	
California	Territory	  UT	8	290	298	
PD	Territory	  UT	14	3	17	
surrounding	Territory	  UT	13	0	13	
tx	Territory	  UT	24	100	124	
Onc	Territory	  UT	44	188	232	
NP	Territory	  UT	31	704	735	
symptoms	Territory	  UT	28	195	223	
nurse	Territory	  UT	41	193	234	
release	Territory	  UT	61	66	127	
large	Territory	  UT	283	242	525	
pts	Territory	  UT	164	1624	1788	
mentioned	Territory	  UT	289	130	419	
Northeast	Territory	  Upstate NY	9	121	130	
IME	Territory	  Upstate NY	3	0	3	
New England	Territory	  Upstate NY	17	970	987	
cell carcinoma	Territory	  Upstate NY	7	40	47	
NCCN institution	Territory	  Upstate NY	16	109	125	
immuno-oncology	Territory	  Upstate NY	11	54	65	
produce	Territory	  Upstate NY	11	0	11	
US	Territory	  Upstate NY	14	24	38	
thought leader	Territory	  Upstate NY	25	22	47	
Boston	Territory	  Upstate NY	40	82	122	
MD	Territory	  Upstate NY	29	71	100	
ipilimumab	Territory	  Upstate NY	22	17	39	
renal	Territory	  Upstate NY	22	26	48	
cabozantinib	Territory	  Upstate NY	27	137	164	
IO agents	Territory	  Upstate NY	45	174	219	
major	Territory	  Upstate NY	90	483	573	
advanced	Territory	  Upstate NY	36	0	36	
hospital	Territory	  Upstate NY	72	479	551	
RTL stated      Territory         VA    93      556     649
Path TL Territory         VT    18      230     248
Boston area     Territory         VT    19      27      46
NTL in the Boston area mentioned        Territory         VT    9       137     146
Path    Territory         VT    19      0       19
Boston  Territory         VT    40      82      122
rounds  Territory         VT    8       5       13
1st line NSCLC  Territory         VT    17      26      43
score   Territory         VT    21      156     177
pathologist     Territory         VT    45      211     256
22C3    Territory         VT    49 112     161  203
1st line        Territory         VT    69290   712     781
pts     Territory         VT164     162431788   17
LTL     Territory         VT    79      800     879
PD-L1   Territory         VT    306     375     681
mentioned       Territory         VT    289     130     419
NW territory    Territory         WA    14      1448    1462
sky-rocketed    Territory         WA    3  23   577     580
NeoGenomics     Territory         WA    8       554     562
laboratory      Territory         WA    7       1271    1278
clone   Territory         WA    5       149     154
diagnostics     Territory         WA    8       1288    1296
medical director        Territory         WA    8       365     373
reflex testing  Territory         WA    11      91      102
medical oncologists     Territory         WA    23      176     199
platform        Territory         WA    18      149     167
IHC     Territory         WA    25      536     561
insights        Territory         WA    137     0       137
molecular       Territory         WA    17      42      59
improved	Territory	  Upstate NY	36	0	36	
care	Territory	  Upstate NY	75	12	87	
RTL stated	Territory	  VA	93	556	649	
Path TL	Territory	  VT	18	230	248	
Boston area	Territory	  VT	19	27	46	
NTL in the Boston area mentioned	Territory	  VT	9	137	146	
Path	Territory	  VT	19	0	19	
Boston	Territory	  VT	40	82	122	
rounds	Territory	  VT	8	5	13	
1st line NSCLC	Territory	  VT	17	26	43	
score	Territory	  VT	21	156	177	
pathologist	Territory	  VT	45	211	256	
22C3	Territory	  VT	49	112	161	
1st line	Territory	  VT	69	712	781	
pts	Territory	  VT	164	1624	1788	
LTL	Territory	  VT	79	800	879	
PD-L1	Territory	  VT	306	375	681	
mentioned	Territory	  VT	289	130	419	
NW territory	Territory	  WA	14	1448	1462	
sky-rocketed	Territory	  WA	3	577	580	
NeoGenomics	Territory	  WA	8	554	562	
laboratory	Territory	  WA	7	1271	1278	
clone	Territory	  WA	5	149	154	
diagnostics	Territory	  WA	8	1288	1296	
medical director	Territory	  WA	8	365	373	
reflex testing	Territory	  WA	11	91	102	
medical oncologists	Territory	  WA	23	176	199	
platform	Territory	  WA	18	149	167	
IHC	Territory	  WA	25	536	561	
insights	Territory	  WA	137	0	137	
molecular	Territory	  WA	17	42	59	
SP142	Territory	  WA	17	146	163	
pathologist	Territory	  WA	45	211	256	
in-house	Territory	  WA	25	127	152	
22C3	Territory	  WA	49	112	161	
Community TL	Territory	  WA	73	820	893	
sent	Territory	  WA	64	529	593	
utilized	Territory	  WA	45	0	45	
RTL from a major academic institution	Territory	  WI	20	232	252	
community institution	Territory	  WI	31	221	252	
026 Top 300	Territory	  WI	7	245	252	
large community institution	Territory	  WI	13	1371	1384	
NCI	Territory	  WI	16	112	128	
NOT Top 300	Territory	  WI	4	248	252	
academic institution mentioned	Territory	  WI	14	47	61	
single-agent	Territory	  WI	5	0	5	
KEYNOTE-024	Territory	  WI	19	76	95	
CheckMate 227	Territory	  WI	8	8	16	
second-line	Territory	  WI	17	63	80	
eager	Territory	  WI	10	7	17	
first-line	Territory	  WI	26	54	80	
top	Territory	  WI	23	0	23	
major academic institution	Territory	  WI	34	225	259	
RTL mentioned	Territory	  WI	27	0	27	
Checkmate	Territory	  WI	87	792	879	
PD-L1 expression	Territory	  WI	72	703	775	
pembrolizumab	Territory	  WI	65	45	110	
RTL	Territory	  WI	690	801	1491	
Verdict	Territory	  WV	2	5	7	
Phase III	Territory	  WV	23	775	798	
o	Territory	  WV	46	220	266	
NW territory	Territory	  WY	14	1448	1462	
ASCO'16	Territory	  WY	5	394	399	
NeoGenomics	Territory	  WY	8	554	562	
laboratory	Territory	  WY	7	1271	1278	
like to see a trial	Territory	  WY	15	14	29	
Academic TL stated	Territory	  WY	16	162	178	
Ipi+Nivo	Territory	  WY	45	338	383	
medical oncologists	Territory	  WY	23	176	199	
insights	Territory	  WY	137	0	137	
TL said	Territory	  WY	86	62	148	
pathologist	Territory	  WY	45	211	256	
TL	Territory	  WY	1157	51	1208	
PD-L1 testing	Territory	  es	123	444	567	
mRCC	Territory	  for	7	232	239	
uveal	Territory	  n	5	424	429	
years old	Territory	  n	8	0	8	
objective responses	Territory	  n	8	3	11	
BRAF/MEK	Territory	  n	10	362	372	
BRAF	Territory	  n	38	209	247	
regimen	Territory	  n	243	465	708	
Biodesix	Territory	  petitor I	4	34	38	
PR Hem Onc Symposium	Territory	  scape	5	142	147	
atezolizumab	Territory	  t in 2nd	37	3	40	
RAI	Territory	 AL	15	701	716	
context of an online lecture	Territory	 AL	7	659	666	
NAI	Territory	 AL	7	282	289	
NCCN 2016 Webex Congress Series	Territory	 AL	7	657	664	
proactive meeting to discuss CM-026	Territory	 AL	7	257	264	
Bone Marrow Transplant Director	Territory	 AL	5	713	718	
academic institution in the HSL South	Territory	 AL	10	110	120	
Annual New Orleans Summer Cancer	Territory	 AL	4	341	345	
LAI	Territory	 AL	4	238	242	
RAI/NSCLC	Territory	 AL	8	175	183	
made the following comments	Territory	 AL	17	549	566	
South	Territory	 AL	20	360	380	
NCCN panelist for NSCLC	Territory	 AL	11	482	493	
territory	Territory	 AL	35	349	384	
shared the following unsolicited insights	Territory	 AL	26	724	750	
national access influencer	Territory	 AL	7	486	493	
NSCLC NCCN panelist	Territory	 AL	17	665	682	
large academic institution	Territory	 AL	15	478	493	
HSL	Territory	 AL	29	239	268	
CT	Territory	 AL	17	0	17	
ONS	Territory	 AZ	5	198	203	
California	Territory	 AZ	8	290	298	
PD	Territory	 AZ	14	3	17	
surrounding	Territory	 AZ	13	0	13	
tx	Territory	 AZ	24	100	124	
Onc	Territory	 AZ	44	188	232	
NP	Territory	 AZ	31	704	735	
symptoms	Territory	 AZ	28	195	223	
nurse	Territory	 AZ	41	193	234	
release	Territory	 AZ	61	66	127	
pts	Territory	 AZ	164	1624	1788	
mentioned	Territory	 AZ	289	130	419	
bc	Territory	 CENTRAL	11	12	23	
inflamed	Territory	 CENTRAL	5	86	91	
non-inflamed	Territory	 CENTRAL	4	107	111	
phenotype	Territory	 CENTRAL	8	76	84	
Several TLs	Territory	 CENTRAL	11	14	25	
tumor microenvironment	Territory	 CENTRAL	9	84	93	
ll	Territory	 CENTRAL	7	16	23	
single agent Nivo	Territory	 CENTRAL	16	0	16	
deep	Territory	 CENTRAL	11	95	106	
front-line	Territory	 CENTRAL	11	142	153	
T cells	Territory	 CENTRAL	18	46	64	
bladder cancer	Territory	 CENTRAL	23	36	59	
tend	Territory	 CENTRAL	23	0	23	
immune	Territory	 CENTRAL	80	2	82	
RTL stated	Territory	 CENTRAL	93	556	649	
pt	Territory	 CENTRAL	67	23	90	
pts	Territory	 CENTRAL	164	1624	1788	
TLs	Territory	 CENTRAL	98	6	104	
mentioned	Territory	 CENTRAL	289	130	419	
NTL	Territory	 CENTRAL	311	710	1021	
Lung RTL shared	Territory	 CHICAGO	15	59	74	
suit	Territory	 CHICAGO	6	0	6	
Lung NTL	Territory	 CHICAGO	20	669	689	
pts	Territory	 CHICAGO	164	1624	1788	
Lung RTL	Territory	 CHICAGO	71	1103	1174	
added	Territory	 CHICAGO	148	0	148	
shared	Territory	 CHICAGO	507	1	508	
commented	Territory	 CHICAGO	295	327	622	
H&N cancer	Territory	 Chicago	22	39	61	
corticosteroids	Territory	 E. PA	17	260	277	
thought leader	Territory	 E. PA	25	22	47	
National TL	Territory	 E. PA	51	544	595	
competitor	Territory	 E. PA	33	0	33	
PDL-1	Territory	 E. PA	50	881	931	
Regional TL	Territory	 E. PA	100	1088	1188	
major	Territory	 E. PA	90	483	573	
GYN ONC	Territory	 E. TN	4	69	73	
Neuro-ONC	Territory	 E. TN	11	39	50	
National Thought leader	Territory	 E. TN	9	0	9	
respect	Territory	 E. TN	20	122	142	
GBM	Territory	 E. TN	49	79	128	
IO therapy	Territory	 E. TN	64	26	90	
Verdict	Territory	 EASTPA	2	5	7	
Phase III	Territory	 EASTPA	23	775	798	
o	Territory	 EASTPA	46	220	266	
cHL patients	Territory	 East	31	150	181	
bleomycin	Territory	 East	25	100	125	
RTL mentioned	Territory	 East	27	0	27	
TL mentioned	Territory	 East	43	30	73	
post	Territory	 East	69	146	215	
HL	Territory	 East	51	171	222	
cHL	Territory	 East	116	190	306	
q3week	Territory	 FL	7	4	11	
rec/met setting	Territory	 FL	10	408	418	
front	Territory	 FL	52	0	52	
second line	Territory	 FL	78	247	325	
RTL	Territory	 FL	690	801	1491	
tolerance	Territory	 GA	4	0	4	
oncology	Territory	 GA	97	148	245	
practice	Territory	 GA	258	718	976	
NCCN center in the midwest stated	Territory	 IA	12	299	311	
exercise	Territory	 IA	5	238	243	
P&T committee	Territory	 IA	8	478	486	
NCCN center	Territory	 IA	26	280	306	
AI stated	Territory	 IA	24	171	195	
payor	Territory	 IA	7	23	30	
order sets	Territory	 IA	8	321	329	
reactive discussion	Territory	 IA	9	310	319	
advisor	Territory	 IA	27	231	258	
build	Territory	 IA	10	21	31	
midwest	Territory	 IA	42	124	166	
expression levels	Territory	 IA	41	170	211	
unsolicited	Territory	 IA	99	200	299	
perspective	Territory	 IA	25	0	25	
chair	Territory	 IA	26	260	286	
panelist	Territory	 IA	134	164	298	
minimal	Territory	 IA	20	0	20	
o	Territory	 IA	46	220	266	
NCCN panelist	Territory	 IA	94	149	243	
AI	Territory	 IA	121	70	191	
nurse	Territory	 IN	41	193	234	
lots	Territory	 IOCL Lead - HEME	12	0	12	
Colorado	Territory	 IOCL Lead - ST2- North	3	292	295	
Denver	Territory	 IOCL Lead - ST2- North	3	80	83	
suburban	Territory	 IOCL Lead - ST2- North	3	421	424	
breakfast	Territory	 IOCL Lead - ST2- North	3	11	14	
IMAR management	Territory	 IOCL Lead - ST2- North	11	373	384	
provider	Territory	 IOCL Lead - ST2- North	29	0	29	
nurse	Territory	 IOCL Lead - ST2- North	41	193	234	
indicated	Territory	 IOCL Lead - ST2- North	79	459	538	
noted	Territory	 IOCL Lead - ST2- North	144	0	144	
take	Territory	 IOCL Lead - ST2- North	76	0	76	
physicians	Territory	 IOCL Lead - ST2- North	148	339	487	
practice	Territory	 IOCL Lead - ST2- North	258	718	976	
cabozatanib	Territory	 KS	13	190	203	
trx	Territory	 KS	10	0	10	
pace	Territory	 KS	8	208	216	
aPD1	Territory	 KS	7	635	642	
Pan-tumor	Territory	 KS	18	464	482	
ie	Territory	 KS	52	0	52	
modest	Territory	 KS	9	142	151	
2L+	Territory	 KS	12	334	346	
GU RTL stated	Territory	 KS	13	433	446	
Pan	Territory	 KS	10	0	10	
IL-2	Territory	 KS	16	48	64	
not test for PDL1	Territory	 KS	14	651	665	
axitinib	Territory	 KS	14	482	496	
HN	Territory	 KS	21	1	22	
sunitinib	Territory	 KS	19	348	367	
GU	Territory	 KS	84	815	899	
3L	Territory	 KS	19	518	537	
nearly	Territory	 KS	23	0	23	
completely	Territory	 KS	26	3	29	
testing for PDL1	Territory	 KS	39	575	614	
RAI	Territory	 LA	15	701	716	
context of an online lecture	Territory	 LA	7	659	666	
NAI	Territory	 LA	7	282	289	
NCCN 2016 Webex Congress Series	Territory	 LA	7	657	664	
proactive meeting to discuss CM-026	Territory	 LA	7	257	264	
Bone Marrow Transplant Director	Territory	 LA	5	713	718	
academic institution in the HSL South	Territory	 LA	10	110	120	
Annual New Orleans Summer Cancer	Territory	 LA	4	341	345	
LAI	Territory	 LA	4	238	242	
RAI/NSCLC	Territory	 LA	8	175	183	
made the following comments	Territory	 LA	17	549	566	
South	Territory	 LA	20	360	380	
NCCN panelist for NSCLC	Territory	 LA	11	482	493	
Assoc	Territory	 LA	3	312	315	
RCTs	Territory	 LA	3	541	544	
Vice Chancellor Clin Res	Territory	 LA	3	312	315	
territory	Territory	 LA	35	349	384	
shared the following unsolicited insights	Territory	 LA	26	724	750	
national access influencer	Territory	 LA	7	486	493	
NSCLC NCCN panelist	Territory	 LA	17	665	682	
1st line NSCLC	Territory	 MA	17	26	43	
rounds	Territory	 MA	8	5	13	
Boston	Territory	 MA	40	82	122	
3mg/kg	Territory	 MA	17	415	432	
New England	Territory	 MA	17	970	987	
pts	Territory	 MA	164	1624	1788	
inquired	Territory	 MA	29	0	29	
LTL	Territory	 MA	79	800	879	
1st line	Territory	 MA	69	712	781	
added	Territory	 MA	148	0	148	
PD-L1 testing	Territory	 MA	123	444	567	
PD-L1	Territory	 MA	306	375	681	
shared	Territory	 MA	507	1	508	
Northeast	Territory	 ME	9	121	130	
IME	Territory	 ME	3	0	3	
New England	Territory	 ME	17	970	987	
cell carcinoma	Territory	 ME	7	40	47	
NCCN institution	Territory	 ME	16	109	125	
immuno-oncology	Territory	 ME	11	54	65	
produce	Territory	 ME	11	0	11	
US	Territory	 ME	14	24	38	
thought leader	Territory	 ME	25	22	47	
Boston	Territory	 ME	40	82	122	
MD	Territory	 ME	29	71	100	
ipilimumab	Territory	 ME	22	17	39	
renal	Territory	 ME	22	26	48	
cabozantinib	Territory	 ME	27	137	164	
IO agents	Territory	 ME	45	174	219	
major	Territory	 ME	90	483	573	
advanced	Territory	 ME	36	0	36	
hospital	Territory	 ME	72	479	551	
improved	Territory	 ME	36	0	36	
care	Territory	 ME	75	12	87	
NCCN center in the midwest stated	Territory	 MI	12	299	311	
exercise	Territory	 MI	5	238	243	
P&T committee	Territory	 MI	8	478	486	
NCCN center	Territory	 MI	26	280	306	
AI stated	Territory	 MI	24	171	195	
advisor	Territory	 MI	27	231	258	
TL commented	Territory	 MI	83	892	975	
I/O	Territory	 MI	36	184	220	
minimal	Territory	 MI	20	0	20	
midwest	Territory	 MI	42	124	166	
chair	Territory	 MI	26	260	286	
panelist	Territory	 MI	134	164	298	
Local TL	Territory	 MI	52	1414	1466	
H&N	Territory	 MI	117	300	417	
commented	Territory	 MI	295	327	622	
MedOncs	Territory	 MID-ATLANTICMI	4	131	135	
machines	Territory	 MID-ATLANTICMI	3	147	150	
standardized	Territory	 MID-ATLANTICMI	8	132	140	
complementary	Territory	 MID-ATLANTICMI	4	138	142	
SP263	Territory	 MID-ATLANTICMI	8	144	152	
tumor cells	Territory	 MID-ATLANTICMI	22	82	104	
Dako	Territory	 MID-ATLANTICMI	17	124	141	
staining	Territory	 MID-ATLANTICMI	32	620	652	
22C3	Territory	 MID-ATLANTICMI	49	112	161	
aware	Territory	 MID-ATLANTICMI	57	0	57	
PD-L1	Territory	 MID-ATLANTICMI	306	375	681	
large academic	Territory	 MID-ATLANTICSC	78	880	958	
cancer center	Territory	 MID-ATLANTICSC	46	130	176	
large academic center stated	Territory	 MID-WESTIL	25	347	372	
university hospital	Territory	 MID-WESTIL	6	428	434	
midwest	Territory	 MID-WESTIL	42	124	166	
University	Territory	 MID-WESTIL	14	366	380	
RTL at a large academic center	Territory	 MID-WESTIL	22	169	191	
PDL-1	Territory	 MID-WESTIL	50	881	931	
mostly	Territory	 MID-WESTIL	34	0	34	
line	Territory	 MID-WESTIL	345	108	453	
strong	Territory	 MID-WESTIL	50	10	60	
issue	Territory	 MID-WESTIL	87	0	87	
recently	Territory	 MID-WESTIL	93	0	93	
meeting	Territory	 MID-WESTIL	239	35	274	
noted	Territory	 MID-WESTIL	144	0	144	
NTL	Territory	 MID-WESTIL	311	710	1021	
stated	Territory	 MID-WESTIL	860	118	978	
NCCN center in the midwest stated	Territory	 MN	12	299	311	
exercise	Territory	 MN	5	238	243	
P&T committee	Territory	 MN	8	478	486	
NCCN center	Territory	 MN	26	280	306	
AI stated	Territory	 MN	24	171	195	
payor	Territory	 MN	7	23	30	
order sets	Territory	 MN	8	321	329	
reactive discussion	Territory	 MN	9	310	319	
advisor	Territory	 MN	27	231	258	
build	Territory	 MN	10	21	31	
midwest	Territory	 MN	42	124	166	
expression levels	Territory	 MN	41	170	211	
unsolicited	Territory	 MN	99	200	299	
perspective	Territory	 MN	25	0	25	
chair	Territory	 MN	26	260	286	
panelist	Territory	 MN	134	164	298	
minimal	Territory	 MN	20	0	20	
o	Territory	 MN	46	220	266	
NCCN panelist	Territory	 MN	94	149	243	
AI	Territory	 MN	121	70	191	
RAI	Territory	 MS	15	701	716	
context of an online lecture	Territory	 MS	7	659	666	
NAI	Territory	 MS	7	282	289	
NCCN 2016 Webex Congress Series	Territory	 MS	7	657	664	
proactive meeting to discuss CM-026	Territory	 MS	7	257	264	
Bone Marrow Transplant Director	Territory	 MS	5	713	718	
academic institution in the HSL South	Territory	 MS	10	110	120	
Annual New Orleans Summer Cancer	Territory	 MS	4	341	345	
LAI	Territory	 MS	4	238	242	
RAI/NSCLC	Territory	 MS	8	175	183	
made the following comments	Territory	 MS	17	549	566	
South	Territory	 MS	20	360	380	
NCCN panelist for NSCLC	Territory	 MS	11	482	493	
Assoc	Territory	 MS	3	312	315	
RCTs	Territory	 MS	3	541	544	
Vice Chancellor Clin Res	Territory	 MS	3	312	315	
territory	Territory	 MS	35	349	384	
shared the following unsolicited insights	Territory	 MS	26	724	750	
national access influencer	Territory	 MS	7	486	493	
NSCLC NCCN panelist	Territory	 MS	17	665	682	
q3wk	Territory	 N. CA	14	425	439	
myocarditis	Territory	 N. CA	12	62	74	
TLs have stated	Territory	 N. CA	21	203	224	
IO-IO	Territory	 N. CA	21	757	778	
PDL-1	Territory	 N. CA	50	881	931	
TLs	Territory	 N. CA	98	6	104	
provided the following unsolicited insights	Territory	 N.CA	45	146	191	
Met with a national/regional lung	Territory	 N.CA	10	211	221	
Met with a regional	Territory	 N.CA	21	174	195	
AI/TL post-ESMO	Territory	 N.CA	9	660	669	
AI/TL	Territory	 N.CA	27	661	688	
Met with a national	Territory	 N.CA	25	644	669	
genitourinary	Territory	 N.CA	3	757	760	
sensitivity	Territory	 N.CA	3	7	10	
Tony Wang	Territory	 N.CA	3	100	103	
disclosed	Territory	 N.CA	13	182	195	
hit PFS	Territory	 N.CA	6	224	230	
CM 026	Territory	 N.CA	27	207	234	
consideration	Territory	 N.CA	18	0	18	
P&T	Territory	 N.CA	18	182	200	
following unsolicited insights	Territory	 N.CA	79	48	127	
commitment	Territory	 N.CA	6	0	6	
hypothesis	Territory	 N.CA	6	227	233	
KN 024	Territory	 N.CA	17	248	265	
SQ	Territory	 N.CA	8	0	8	
organization	Territory	 N.CA	14	154	168	
RTL from a major academic institution	Territory	 ND	20	232	252	
community institution	Territory	 ND	31	221	252	
NCCN center in the midwest stated	Territory	 ND	12	299	311	
026 Top 300	Territory	 ND	7	245	252	
large community institution	Territory	 ND	13	1371	1384	
exercise	Territory	 ND	5	238	243	
academic institution mentioned	Territory	 ND	14	47	61	
P&T committee	Territory	 ND	8	478	486	
KEYNOTE-024	Territory	 ND	19	76	95	
NCCN center	Territory	 ND	26	280	306	
AI stated	Territory	 ND	24	171	195	
CheckMate 227	Territory	 ND	8	8	16	
second-line	Territory	 ND	17	63	80	
first-line	Territory	 ND	26	54	80	
major academic institution	Territory	 ND	34	225	259	
advisor	Territory	 ND	27	231	258	
expression levels	Territory	 ND	41	170	211	
poster	Territory	 ND	23	284	307	
midwest	Territory	 ND	42	124	166	
perspective	Territory	 ND	25	0	25	
Northeast	Territory	 NEW ENGLANDMA	9	121	130	
IME	Territory	 NEW ENGLANDMA	3	0	3	
New England	Territory	 NEW ENGLANDMA	17	970	987	
cell carcinoma	Territory	 NEW ENGLANDMA	7	40	47	
NCCN institution	Territory	 NEW ENGLANDMA	16	109	125	
immuno-oncology	Territory	 NEW ENGLANDMA	11	54	65	
produce	Territory	 NEW ENGLANDMA	11	0	11	
US	Territory	 NEW ENGLANDMA	14	24	38	
thought leader	Territory	 NEW ENGLANDMA	25	22	47	
Boston	Territory	 NEW ENGLANDMA	40	82	122	
MD	Territory	 NEW ENGLANDMA	29	71	100	
ipilimumab	Territory	 NEW ENGLANDMA	22	17	39	
renal	Territory	 NEW ENGLANDMA	22	26	48	
cabozantinib	Territory	 NEW ENGLANDMA	27	137	164	
IO agents	Territory	 NEW ENGLANDMA	45	174	219	
major	Territory	 NEW ENGLANDMA	90	483	573	
advanced	Territory	 NEW ENGLANDMA	36	0	36	
hospital	Territory	 NEW ENGLANDMA	72	479	551	
improved	Territory	 NEW ENGLANDMA	36	0	36	
care	Territory	 NEW ENGLANDMA	75	12	87	
NTL in the Boston area mentioned	Territory	 NEW ENGLANDN.NY	9	137	146	
Boston area	Territory	 NEW ENGLANDN.NY	19	27	46	
RTL at a large academic center	Territory	 NEW ENGLANDN.NY	22	169	191	
bleo	Territory	 NEW ENGLANDN.NY	17	114	131	
Boston	Territory	 NEW ENGLANDN.NY	40	82	122	
BV	Territory	 NEW ENGLANDN.NY	33	158	191	
stop	Territory	 NEW ENGLANDN.NY	67	137	204	
mentioned	Territory	 NEW ENGLANDN.NY	289	130	419	
Northeast	Territory	 NH	9	121	130	
IME	Territory	 NH	3	0	3	
New England	Territory	 NH	17	970	987	
cell carcinoma	Territory	 NH	7	40	47	
NCCN institution	Territory	 NH	16	109	125	
immuno-oncology	Territory	 NH	11	54	65	
produce	Territory	 NH	11	0	11	
US	Territory	 NH	14	24	38	
thought leader	Territory	 NH	25	22	47	
Boston	Territory	 NH	40	82	122	
MD	Territory	 NH	29	71	100	
ipilimumab	Territory	 NH	22	17	39	
renal	Territory	 NH	22	26	48	
cabozantinib	Territory	 NH	27	137	164	
IO agents	Territory	 NH	45	174	219	
major	Territory	 NH	90	483	573	
advanced	Territory	 NH	36	0	36	
hospital	Territory	 NH	72	479	551	
improved	Territory	 NH	36	0	36	
care	Territory	 NH	75	12	87	
NCI	Territory	 NORTH CENTRALIA	16	112	128	
hematologic malignancies	Territory	 NORTH CENTRALIA	5	4	9	
PET	Territory	 NORTH CENTRALIA	11	0	11	
cancer center	Territory	 NORTH CENTRALIA	46	130	176	
lymphoma	Territory	 NORTH CENTRALIA	73	12	85	
academic center	Territory	 NORTH CENTRALIA	103	319	422	
noted	Territory	 NORTH CENTRALIA	144	0	144	
NCCN center in the midwest stated	Territory	 NORTH CENTRALWI	12	299	311	
exercise	Territory	 NORTH CENTRALWI	5	238	243	
P&T committee	Territory	 NORTH CENTRALWI	8	478	486	
NCCN center	Territory	 NORTH CENTRALWI	26	280	306	
AI stated	Territory	 NORTH CENTRALWI	24	171	195	
payor	Territory	 NORTH CENTRALWI	7	23	30	
order sets	Territory	 NORTH CENTRALWI	8	321	329	
reactive discussion	Territory	 NORTH CENTRALWI	9	310	319	
advisor	Territory	 NORTH CENTRALWI	27	231	258	
build	Territory	 NORTH CENTRALWI	10	21	31	
midwest	Territory	 NORTH CENTRALWI	42	124	166	
expression levels	Territory	 NORTH CENTRALWI	41	170	211	
unsolicited	Territory	 NORTH CENTRALWI	99	200	299	
perspective	Territory	 NORTH CENTRALWI	25	0	25	
chair	Territory	 NORTH CENTRALWI	26	260	286	
panelist	Territory	 NORTH CENTRALWI	134	164	298	
minimal	Territory	 NORTH CENTRALWI	20	0	20	
o	Territory	 NORTH CENTRALWI	46	220	266	
NCCN panelist	Territory	 NORTH CENTRALWI	94	149	243	
AI	Territory	 NORTH CENTRALWI	121	70	191	
Path TL	Territory	 NORTHEASTNY	18	230	248	
Path	Territory	 NORTHEASTNY	19	0	19	
LDT	Territory	 NORTHEASTNY	4	22	26	
IVD	Territory	 NORTHEASTNY	6	146	152	
score	Territory	 NORTHEASTNY	21	156	177	
pathologist	Territory	 NORTHEASTNY	45	211	256	
22C3	Territory	 NORTHEASTNY	49	112	161	
reported	Territory	 NORTHEASTNY	182	10	192	
TL stated	Territory	 NORTHEASTNY	202	488	690	
TL	Territory	 NORTHEASTNY	1157	51	1208	
southeast region	Territory	 NORTHEASTNYC	7	169	176	
gathered the following unsolicited	Territory	 NORTHEASTNYC	6	175	181	
Ritchie	Territory	 NORTHEASTNYC	6	170	176	
NCI-designated	Territory	 NORTHEASTNYC	8	157	165	
Joseph	Territory	 NORTHEASTNYC	7	170	177	
junior	Territory	 NORTHEASTNYC	4	394	398	
faculty	Territory	 NORTHEASTNYC	4	394	398	
yield	Territory	 NORTHEASTNYC	5	0	5	
evolving	Territory	 NORTHEASTNYC	10	77	87	
comparable	Territory	 NORTHEASTNYC	13	498	511	
wasn	Territory	 NORTHEASTNYC	8	109	117	
symposium	Territory	 NORTHEASTNYC	26	152	178	
NTLs	Territory	 NORTHEASTNYC	13	120	133	
thoracic	Territory	 NORTHEASTNYC	10	142	152	
position	Territory	 NORTHEASTNYC	14	383	397	
landscape	Territory	 NORTHEASTNYC	40	0	40	
doesn	Territory	 NORTHEASTNYC	36	94	130	
volunteered	Territory	 NORTHEASTNYC	28	243	271	
